0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
303ºÅ,1,0,0.5,1,1,0,0,0,0,0,2,12,12,0
304ºÅ,0,0,4.16,1,1,0,0,0,0,0,2,12,12,0
305ºÅ,0,0,5.14,1,1,0,0,0,0,0,2,24,24,0
306ºÅ,0,1,34.62,0,1,0,0,0,0,0,10,72,0,1
307ºÅ,0,0,1.82,1,1,0,0,0,0,0,2,6,12,0
308ºÅ,0,0,1.63,1,1,0,0,0,0,0,2,7,12,0
309ºÅ,0,0,5.52,1,1,0,0,0,0,0,2,24,24,0
310ºÅ,0,1,15.51,0,1,0,0,0,0,1,5,60,0,1
311ºÅ,0,0,3.36,0,1,0,0,0,0,0,3,12,0,0
312ºÅ,0,0,4.84,1,1,0,0,0,0,0,2,18,18,0
313ºÅ,0,0,15.62,0,1,0,0,0,0,1,5,60,0,1
314ºÅ,0,0,3.18,1,1,0,0,0,0,0,2,24,24,0
315ºÅ,0,0,4.56,0,1,0,0,0,0,0,2,18,0,0
316ºÅ,0,0,4.75,1,1,0,0,0,0,0,2,12,12,0
317ºÅ,0,0,1.9,1,1,0,0,0,0,0,2,6,12,0
318ºÅ,0,0,5.68,0.28,1,0,0,0,0,0,2,18,0,0
319ºÅ,0,1,7.46,1,1,0,0,0,0,0,2,24,24,0
320ºÅ,0,0,1.26,1,1,0,0,0,0,0,2,4,6,0
321ºÅ,0,0,1.99,0,1,0,0,0,0,0,3,10,0,0
322ºÅ,0,0,19.75,1,1,0,0,0,0,1,5,24,24,0
323ºÅ,0,0,18.8,0,1,0,0,0,0,1,5,66,0,1
324ºÅ,0,0,7.49,0,1,0,0,0,0,0,2,24,0,0
325ºÅ,1,0,1.4,1,1,0,0,0,0,0,2,12,12,0
326ºÅ,0,1,7.18,1,1,0,0,0,0,0,2,36,36,0
327ºÅ,0,0,5.12,1,1,0,0,0,0,0,2,18,18,0
328ºÅ,0,0,12.85,0,1,0,0,0,0,1,5,66,0,1
329ºÅ,0,0,3.88,1,1,0,0,0,0,0,2,10,12,0
330ºÅ,0,1,3.06,1,1,0,0,0,0,0,2,4,6,0
331ºÅ,0,0,3,1,1,0,0,0,0,0,2,12,12,0
332ºÅ,0,0,7.73,1,1,0,0,0,0,0,2,30,30,0
333ºÅ,1,0,0.8,1,1,0,0,0,0,0,2,5,5,0
334ºÅ,1,1,1.4,1,1,0,0,0,0,0,2.5,5,6,0
335ºÅ,0,0,3.36,1,1,0,0,0,0,0,2,12,12,0
336ºÅ,0,0,1.4,1,1,0,0,0,0,0,2,6,6,0
337ºÅ,0,0,9.57,1,1,0,0,0,0,0,2,36,36,0
338ºÅ,1,0,0.5,1,1,0,0,0,0,0,2,3,6,0
339ºÅ,0,0,9.53,1,1,0,0,0,0,0,4,36,48,0
340ºÅ,1,0,3.15,0,1,0,0,0,0,0,2,36,0,0
341ºÅ,0,0,1.77,0,1,0,0,0,0,0,2,6,0,0
342ºÅ,1,0,21,0,1,0,0,0,0,1,10,84,0,1
343ºÅ,1,0,16.57,0,1,0,0,0,0,1,20,72,0,2
344ºÅ,0,1,2.4,1,1,0,0,0,0,0,2,6,10,0
345ºÅ,0,0,12.49,0,1,0,0,0,0,1,5,48,0,1
346ºÅ,0,0,1.19,1,1,0,0,0,0,0,2,12,18,0
347ºÅ,0,0,12,1,1,0,0,0,0,1,6,36,36,1
348ºÅ,1,0,0.67,1,1,0,0,0,0,0,2,6,12,0
349ºÅ,0,0,5.71,0,0,1,0,0,0,0,2,12,0,0
350ºÅ,0,1,78.23,1,1,0,0,0,0,1,15,36,48,1
351ºÅ,0,0,9.46,0,1,0,0,0,0,1,10,48,0,1
352ºÅ,0,0,9.91,0,0,0,0,0,0,1,15,58,0,1
353ºÅ,1,0,2.05,1,1,1,0,0,0,0,2,6,0,0
354ºÅ,0,1,42.67,1,1,0,0,0,0,1,5,36,36,0
355ºÅ,0,0,1.5,1,1,0,0,0,0,0,2,3,3,0
356ºÅ,1,0,0.8,1,1,0,0,0,0,0,2,6,12,0
357ºÅ,0,0,9.36,1,1,0,0,0,0,0,2,36,36,0
358ºÅ,0,0,4.99,1,1,0,0,0,0,0,2,18,24,0
359ºÅ,0,1,2.72,1,1,0,0,0,0,0,2,6,12,0
360ºÅ,0,0,1.4,1,1,0,0,0,0,0,2,4,4,0
361ºÅ,0,0,4.8,0,1,1,0,0,0,0,2,24,0,0
362ºÅ,0,0,1.1,1,1,0,0,0,0,0,2,4,4,0
363ºÅ,0,0,102,0,1,0,0,0,0,2,5,126,0,1
364ºÅ,1,0,0.86,1,1,0,0,0,0,0,2,12,12,0
365ºÅ,0,0,19.58,1,1,0,0,0,0,1,5,60,0,1
366ºÅ,0,0,4.8,0,1,0,0,0,0,0,2,30,0,0
367ºÅ,1,0,0.6,1,1,0,0,0,0,0,2,6,12,0
368ºÅ,1,1,0.7,1,1,0,0,0,0,0,2,6,6,0
369ºÅ,0,0,10,1,1,0,0,0,0,0,4,36,36,0
370ºÅ,2,0,1.01,0,1,1,0,0,0,0,3,12,0,0
371ºÅ,0,1,1.15,1,1,0,0,0,0,0,2,3,4,0
372ºÅ,0,0,1.39,1,1,0,0,0,0,0,2,3,6,0
373ºÅ,1,0,1.48,0,1,0,0,0,0,0,2,18,0,0
374ºÅ,1,0,2.81,1,1,0,0,0,0,0,2,8,12,0
